prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
tirzepatide,trending,study,NEURALGIA,20,28221,2035,1379011,41.180579257454305,28241,2055,1409287,0.4925,0.4921,0.3185,0.7605,10.6135,0.001122659255024781,0.0021660201454042536,True,0.4858,0.332,0.6912,-1.0238,-1.656,0,False,None
tirzepatide,trending,study,NEUROENDOCRINE TUMOUR,5,28236,104,1380942,2.184274033607065,28241,109,1409287,2.5737,2.574,1.0919,6.0679,2.5055,0.1134504310903856,0.15976645585098223,False,2.2229,1.0191,4.354,1.0349,-0.2297,1,False,None
tirzepatide,trending,study,NEUROPATHY PERIPHERAL,38,28203,7650,1373396,154.06145660890934,28241,7688,1409287,0.2461,0.2451,0.1785,0.3364,88.9404,4.068923654299224e-21,1.809910250329118e-20,True,0.2468,0.1877,0.3198,-2.0053,-2.464,0,False,None
tirzepatide,trending,study,NEUTROPENIA,4,28237,12514,1368532,250.85084727241505,28241,12518,1409287,0.0176,0.0174,0.0069,0.0439,249.0914,4.09757869011449e-56,3.1186421919086027e-55,True,0.0162,0.0067,0.034,-5.8036,-7.2175,0,False,None
tirzepatide,trending,study,NIGHT SWEATS,16,28225,2620,1378426,52.823361032919486,28241,2636,1409287,0.3079,0.3075,0.1895,0.499,25.5359,4.342377212530662e-07,1.112753020931676e-06,True,0.3033,0.1979,0.449,-1.6923,-2.3992,0,False,None
tirzepatide,trending,study,NIGHTMARE,9,28232,1813,1379233,36.51144302047773,28241,1822,1409287,0.2562,0.2559,0.1353,0.4842,20.4183,6.223164277223043e-06,1.4829026347179304e-05,True,0.2473,0.1391,0.4134,-1.962,-2.9045,0,False,None
tirzepatide,trending,study,NO ADVERSE EVENT,67,28174,20562,1360484,413.3888902686252,28241,20629,1409287,0.1605,0.1585,0.1248,0.2014,299.716,3.798865569453125e-67,3.246423357441112e-66,True,0.1622,0.1321,0.1974,-2.6163,-2.9617,0,False,None
tirzepatide,trending,study,NOCTURIA,7,28234,1195,1379851,24.087132003630206,28241,1202,1409287,0.3068,0.3066,0.1495,0.6286,11.6659,0.0006365509808724904,0.0012652104794325877,True,0.2917,0.1515,0.5194,-1.7129,-2.7817,0,False,None
tirzepatide,trending,study,NONSPECIFIC REACTION,3,28238,656,1380390,13.205840258229872,28241,659,1409287,0.2607,0.2606,0.0912,0.7451,7.2827,0.006962035108825538,0.01210824405791495,True,0.2301,0.0834,0.5341,-1.9694,-3.6019,0,False,None
tirzepatide,trending,study,OBESITY,5,28236,1618,1379428,32.523639968296024,28241,1623,1409287,0.1662,0.166,0.0719,0.3835,22.9393,1.671976938427591e-06,4.125403118401968e-06,True,0.155,0.0711,0.3036,-2.586,-3.8506,0,False,None
tirzepatide,trending,study,OBSESSIVE-COMPULSIVE DISORDER,10,28231,388,1380658,7.975606104363412,28241,398,1409287,1.3216,1.3218,0.716,2.4402,0.2974,0.585515395465463,0.675400960594008,False,1.2461,0.7229,2.0326,0.309,-0.5852,0,False,None
tirzepatide,trending,study,OBSTRUCTION GASTRIC,4,28237,71,1380975,1.5029408488122007,28241,75,1409287,3.0777,3.078,1.1872,7.9799,2.708,0.09984386529890009,0.14234457888640792,False,2.5472,1.0616,5.3526,1.1678,-0.246,1,False,None
tirzepatide,trending,study,OBSTRUCTIVE PANCREATITIS,3,28238,75,1380971,1.5630584827646887,28241,78,1409287,2.2669,2.2671,0.7763,6.6209,0.5731,0.4490115788167064,0.5403819180439311,False,1.8514,0.6712,4.2966,0.7626,-0.87,0,False,None
tirzepatide,trending,study,OCULAR DISCOMFORT,3,28238,1254,1379792,25.189288626092484,28241,1257,1409287,0.1364,0.1363,0.0477,0.3892,19.0745,1.257123048297692e-05,2.9256176968114478e-05,True,0.121,0.0439,0.2809,-2.8757,-4.5083,0,False,None
tirzepatide,trending,study,OCULAR HYPERAEMIA,5,28236,3981,1377065,79.8762963115391,28241,3986,1409287,0.0676,0.0674,0.0292,0.1555,70.8717,3.812362551870032e-17,1.5193825355331795e-16,True,0.0632,0.029,0.1238,-3.8693,-5.1338,0,False,None
